no,couponNumber,isUsed
1,75863985,false
2,65223760,false
3,58280932,false
4,78522180,false
5,92560567,false
6,62284308,false
7,75055550,false
8,58165710,false
9,81639490,false
10,37764860,false
11,78152533,false
12,99217116,false
13,68898835,false
14,43743550,false
15,82554226,false
16,92838752,false
17,86912335,false
18,73616999,false
19,72342678,false
20,63380273,false
21,31247704,false
22,66728317,false
23,15888680,false
24,07965787,false
25,13816343,false
26,34135412,false
27,85590699,false
28,27133726,false
29,66141919,false
30,15823936,false
31,37129552,false
32,76596055,false
33,66543038,false
34,52116105,false
35,77028858,false
36,51380826,false
37,52934157,false
38,40677712,false
39,94953926,false
40,74975853,false
41,82251179,false
42,08677999,false
43,07312239,false
44,81643660,false
45,57709622,false
46,57435776,false
47,18469799,false
48,11843775,false
49,15647079,false
50,00559111,false
51,34223735,false
52,55807982,false
53,47858718,false
54,33182823,false
55,18192583,false
56,25591056,false
57,78014828,false
58,34796184,false
59,37385246,false
60,19104170,false
61,55701830,false
62,88385531,false
63,29878776,false
64,85149597,false
65,47196683,false
66,89804198,false
67,27858751,false
68,65533018,false
69,47256510,false
70,01222760,false
71,99814702,false
72,74777773,false
73,43871652,false
74,24065289,false
75,38733566,false
76,32110501,false
77,72135236,false
78,05981905,false
79,26749566,false
80,57654381,false
81,59607026,false
82,44712851,false
83,82013123,false
84,12127342,false
85,34863840,false
86,08731478,false
87,81973205,false
88,78465160,false
89,79600583,false
90,97528016,false
91,91804118,false
92,76567586,false
93,70760327,false
94,32610788,false
95,01104518,false
96,07295781,false
97,53595084,false
98,89455262,false
99,20369614,false
100,66702688,false
101,37234915,false
102,40155476,false
103,01835365,false
104,09291644,false
105,00808288,false
106,68753717,false
107,79099350,false
108,37570527,false
109,17864864,false
110,11745290,false
111,57994558,false
112,75418622,false
113,43380648,false
114,87931691,false
115,55225699,false
116,48693134,false
117,53639170,false
118,25111363,false
119,88534376,false
120,14140267,false
121,90251957,false
122,46767235,false
123,85416714,false
124,45344900,false
125,50158915,false
126,81240621,false
127,47577207,false
128,28608462,false
129,59365647,false
130,47589052,false
131,37075485,false
132,62746209,false
133,80828562,false
134,48950856,false
135,26497109,false
136,39628418,false
137,46888941,false
138,92361748,false
139,80894645,false
140,56236360,false
141,08177378,false
142,30681721,false
143,77609417,false
144,71951744,false
145,76263443,false
146,83281621,false
147,50991219,false
148,71463462,false
149,63883191,false
150,51193456,false
151,31824530,false
152,63326814,false
153,82663429,false
154,74490038,false
155,27415361,false
156,89635108,false
157,09224002,false
158,24502037,false
159,79460490,false
160,13868272,false
161,63786086,false
162,77616458,false
163,13512457,false
164,59205686,false
165,16629676,false
166,58092348,false
167,61587740,false
168,46507297,false
169,79057407,false
170,80011651,false
171,41704699,false
172,04366083,false
173,81251045,false
174,56304244,false
175,38508839,false
176,06744454,false
177,37495724,false
178,68487007,false
179,74193958,false
180,09601656,false
181,51660814,false
182,16881386,false
183,20526485,false
184,93206191,false
185,78196120,false
186,69453158,false
187,56010531,false
188,04104005,false
189,16852858,false
190,36660009,false
191,43137407,false
192,26676887,false
193,49359621,false
194,99883968,false
195,61950936,false
196,31715473,false
197,95691261,false
198,71913398,false
199,23573303,false
200,51220357,false
201,09100176,false
202,73293203,false
203,23348599,false
204,34879101,false
205,11427131,false
206,95495141,false
207,43753206,false
208,36488728,false
209,69735283,false
210,65352318,false
211,46858357,false
212,26963177,false
213,20985478,false
214,35207816,false
215,35047218,false
216,03648690,false
217,79461361,false
218,14499092,false
219,76644743,false
220,26280478,false
221,11758017,false
222,93814279,false
223,06488804,false
224,14822205,false
225,61478211,false
226,33639166,false
227,72331032,false
228,92933373,false
229,72488823,false
230,71089169,false
231,42764035,false
232,53057225,false
233,32664741,false
234,61442201,false
235,43408832,false
236,41186342,false
237,62215208,false
238,03438034,false
239,25230086,false
240,46598193,false
241,56116653,false
242,31469408,false
243,24253604,false
244,40212845,false
245,32767128,false
246,48993682,false
247,02242642,false
248,03019027,false
249,12589603,false
250,66107166,false
251,89221420,false
252,76384744,false
253,36973468,false
254,40553199,false
255,95097192,false
256,31222744,false
257,67449733,false
258,41526020,false
259,15912885,false
260,67683780,false
261,39396786,false
262,16807296,false
263,62919483,false
264,41669304,false
265,23678567,false
266,68679214,false
267,05536345,false
268,30397612,false
269,23816694,false
270,68487936,false
271,86409833,false
272,38737872,false
273,92992129,false
274,51626989,false
275,61024516,false
276,17940694,false
277,03652002,false
278,28645865,false
279,40358700,false
280,50499313,false
281,24898551,false
282,39051173,false
283,34323057,false
284,60744444,false
285,42296224,false
286,71266120,false
287,88831179,false
288,26165211,false
289,77566582,false
290,81863460,false
291,47492424,false
292,91351072,false
293,69655854,false
294,04772040,false
295,20993714,false
296,49027978,false
297,07959693,false
298,44176143,false
299,76926250,false
300,72762024,false
301,04985399,false
302,68893107,false
303,16943346,false
304,44985121,false
305,64018458,false
306,71084757,false
307,62977843,false
308,48615130,false
309,41276831,false
310,66984586,false
311,51454211,false
312,66548130,false
313,56381775,false
314,27182094,false
315,10288255,false
316,16691077,false
317,00884914,false
318,92130748,false
319,36741558,false
320,30126233,false
321,88412863,false
322,56397334,false
323,39635537,false
324,24203276,false
325,33205441,false
326,26601528,false
327,63343628,false
328,18506530,false
329,85469448,false
330,47281440,false
331,85617828,false
332,22607082,false
333,93906211,false
334,88763842,false
335,18516985,false
336,71917801,false
337,66814204,false
338,03593067,false
339,17669154,false
340,67929767,false
341,93924344,false
342,68775214,false
343,78559157,false
344,53220153,false
345,60406738,false
346,32020261,false
347,13499117,false
348,34887656,false
349,78473971,false
350,78655529,false
351,50734670,false
352,10642708,false
353,52092422,false
354,06689594,false
355,27220788,false
356,21274651,false
357,19594699,false
358,61835413,false
359,53316441,false
360,93547280,false
361,30715632,false
362,07802286,false
363,50591572,false
364,71640646,false
365,62558586,false
366,33540491,false
367,11084125,false
368,69049352,false
369,89466974,false
370,28630033,false
371,20920578,false
372,94923749,false
373,44723185,false
374,51533466,false
375,74664362,false
376,84028466,false
377,52999922,false
378,45445597,false
379,96539534,false
380,89123696,false
381,75686817,false
382,16603423,false
383,42268438,false
384,79334666,false
385,60430390,false
386,80512355,false
387,11547994,false
388,17705071,false
389,45610226,false
390,58664920,false
391,74571627,false
392,55386848,false
393,67426410,false
394,44633758,false
395,51954261,false
396,82140797,false
397,88390370,false
398,07748547,false
399,24616467,false
400,86232771,false
401,36574787,false
402,64231266,false
403,87905132,false
404,87752211,false
405,34054978,false
406,85474241,false
407,40372766,false
408,95531474,false
409,63269753,false
410,97407077,false
411,87165009,false
412,57552904,false
413,01468251,false
414,41477104,false
415,89119177,false
416,10641646,false
417,34617908,false
418,67617895,false
419,49057722,false
420,95077420,false
421,55450207,false
422,54902959,false
423,68071736,false
424,67895587,false
425,04510190,false
426,08482326,false
427,19858171,false
428,40582165,false
429,26808670,false
430,45339299,false
431,20827885,false
432,80901381,false
433,96640283,false
434,63056951,false
435,39468820,false
436,65814983,false
437,90044180,false
438,49993408,false
439,92744712,false
440,78567217,false
441,17422313,false
442,82989271,false
443,53930757,false
444,98671816,false
445,69051058,false
446,29861393,false
447,51156715,false
448,49366483,false
449,22508926,false
450,38287809,false
451,57277376,false
452,78321049,false
453,80783140,false
454,88440367,false
455,46349815,false
456,32254578,false
457,70997462,false
458,99344105,false
459,07125250,false
460,66408690,false
461,21780320,false
462,57347453,false
463,92887938,false
464,68582788,false
465,00849715,false
466,05211130,false
467,05562189,false
468,91109027,false
469,84890929,false
470,07018678,false
471,28907185,false
472,80699533,false
473,61268268,false
474,82960497,false
475,85682572,false
476,60942020,false
477,04403789,false
478,72151867,false
479,30466296,false
480,88496810,false
481,73833063,false
482,64603220,false
483,15217171,false
484,46811993,false
485,49574412,false
486,67270983,false
487,73451293,false
488,74800212,false
489,44268015,false
490,76102780,false
491,69647028,false
492,09240954,false
493,94173119,false
494,46316328,false
495,76789438,false
496,63878664,false
497,13889811,false
498,52818400,false
499,51598439,false
500,83540265,false
501,17095157,false
502,38018188,false
503,50160811,false
504,04413419,false
505,61882902,false
506,14940713,false
507,67571030,false
508,12197175,false
509,61758895,false
510,13931671,false
511,00903114,false
512,77260891,false
513,79348659,false
514,36039889,false
515,38522235,false
516,88553243,false
517,66469321,false
518,67993779,false
519,81902302,false
520,38484554,false
521,00567375,false
522,45902726,false
523,72113061,false
524,91617747,false
525,16162014,false
526,74001585,false
527,16076263,false
528,36573974,false
529,43472273,false
530,87271075,false
531,25520101,false
532,23009918,false
533,96069869,false
534,83845897,false
535,51254566,false
536,21910142,false
537,66062820,false
538,97402777,false
539,80264784,false
540,79588044,false
541,25578514,false
542,19505308,false
543,37629644,false
544,85758049,false
545,06743724,false
546,73767967,false
547,95066327,false
548,07986625,false
549,02145830,false
550,06590947,false
551,53402681,false
552,15394183,false
553,10586944,false
554,34708598,false
555,32170598,false
556,87001682,false
557,18271798,false
558,40023088,false
559,38743741,false
560,33016632,false
561,44811559,false
562,32370833,false
563,87335912,false
564,12587854,false
565,86564432,false
566,84219067,false
567,33054886,false
568,77180060,false
569,81336975,false
570,82379540,false
571,73106093,false
572,20233189,false
573,20034809,false
574,26022418,false
575,06425557,false
576,45791508,false
577,06068109,false
578,87637971,false
579,49783272,false
580,21419806,false
581,59440295,false
582,77770054,false
583,22488170,false
584,43319602,false
585,58980371,false
586,96078637,false
587,70231441,false
588,33176054,false
589,39418472,false
590,94929141,false
591,64215508,false
592,55490030,false
593,58983241,false
594,90258258,false
595,04770855,false
596,60589153,false
597,51628726,false
598,56566312,false
599,28185229,false
600,56114528,false
601,48032008,false
602,83396416,false
603,80106629,false
604,10307412,false
605,69847957,false
606,95095577,false
607,39069776,false
608,31920204,false
609,78182386,false
610,17841782,false
611,65070347,false
612,61607227,false
613,96955959,false
614,29866734,false
615,08894124,false
616,00587153,false
617,78374086,false
618,93237591,false
619,03296931,false
620,54201213,false
621,00193808,false
622,85475138,false
623,34009092,false
624,65631274,false
625,87646306,false
626,94382409,false
627,77178337,false
628,09148638,false
629,29066122,false
630,15300687,false
631,91917420,false
632,60168775,false
633,74935238,false
634,16832585,false
635,92328778,false
636,37116037,false
637,43780228,false
638,84452574,false
639,76192011,false
640,90761393,false
641,16587209,false
642,74505500,false
643,03980192,false
644,79491586,false
645,05492418,false
646,39608979,false
647,98817926,false
648,80148029,false
649,16528223,false
650,39178026,false
651,09806197,false
652,41192234,false
653,13837563,false
654,27161760,false
655,01591704,false
656,94053232,false
657,67277535,false
658,57262790,false
659,37057084,false
660,36437387,false
661,71708778,false
662,36197991,false
663,74247608,false
664,74592871,false
665,77913791,false
666,09129595,false
667,90207542,false
668,58838293,false
669,20676402,false
670,92415869,false
671,80577902,false
672,38779062,false
673,36976162,false
674,93939987,false
675,09485493,false
676,96148749,false
677,31868992,false
678,15307278,false
679,36957444,false
680,12553676,false
681,49968085,false
682,13873456,false
683,33764113,false
684,68160601,false
685,28635129,false
686,48428140,false
687,71886023,false
688,25875028,false
689,16810675,false
690,88977732,false
691,01043682,false
692,97417029,false
693,23987811,false
694,16856603,false
695,89455882,false
696,83722361,false
697,90115926,false
698,64692790,false
699,17662906,false
700,74336390,false
701,39978206,false
702,22975771,false
703,23020095,false
704,37863657,false
705,97712923,false
706,35455879,false
707,83881745,false
708,19069079,false
709,72359469,false
710,82706977,false
711,39227820,false
712,03027121,false
713,27821440,false
714,85986211,false
715,02540761,false
716,67607349,false
717,56720712,false
718,03887623,false
719,46336917,false
720,07459328,false
721,57095383,false
722,08376539,false
723,85340874,false
724,54920765,false
725,31108357,false
726,76775692,false
727,01877402,false
728,38989726,false
729,77759509,false
730,11496966,false
731,97014837,false
732,14574167,false
733,76412794,false
734,54543216,false
735,83870257,false
736,92287503,false
737,83914953,false
738,38546053,false
739,54041860,false
740,66360946,false
741,78289304,false
742,12174922,false
743,80748406,false
744,42328930,false
745,48388141,false
746,13082499,false
747,29173868,false
748,32716690,false
749,58864986,false
750,23483674,false
751,87519937,false
752,55422579,false
753,60603270,false
754,50484649,false
755,94389662,false
756,08972776,false
757,62732671,false
758,66840907,false
759,99169282,false
760,48772525,false
761,55852243,false
762,50861860,false
763,66753040,false
764,63924215,false
765,24895894,false
766,53081651,false
767,94230404,false
768,79430710,false
769,83366900,false
770,29655307,false
771,81521551,false
772,66437164,false
773,00693669,false
774,85926400,false
775,65068367,false
776,57131032,false
777,84545558,false
778,88453676,false
779,63336453,false
780,51107204,false
781,77040933,false
782,36331866,false
783,86784707,false
784,19628968,false
785,38517117,false
786,79089716,false
787,65863564,false
788,20879028,false
789,58519016,false
790,74009509,false
791,94311892,false
792,66515486,false
793,93226730,false
794,62570272,false
795,56579285,false
796,13248945,false
797,29102198,false
798,67581911,false
799,74830420,false
800,89495878,false
801,63912663,false
802,72333972,false
803,49749263,false
804,14207482,false
805,70784843,false
806,38662854,false
807,41742184,false
808,38055101,false
809,75726515,false
810,14751041,false
811,99465859,false
812,10367331,false
813,43241843,false
814,12972272,false
815,90141639,false
816,55785211,false
817,16368441,false
818,84433894,false
819,39636203,false
820,35572943,false
821,33683422,false
822,95530241,false
823,33377682,false
824,39672962,false
825,17409699,false
826,23774296,false
827,12030721,false
828,14338349,false
829,83979740,false
830,01878628,false
831,36070749,false
832,37095206,false
833,51549934,false
834,18498641,false
835,20694774,false
836,10464597,false
837,55787292,false
838,78502146,false
839,57085302,false
840,87240641,false
841,94283835,false
842,22399592,false
843,15473106,false
844,60348628,false
845,68813067,false
846,41574890,false
847,35923077,false
848,83600525,false
849,22467816,false
850,63503997,false
851,75180823,false
852,91545019,false
853,97919057,false
854,80004296,false
855,47238290,false
856,88055442,false
857,11358531,false
858,70443224,false
859,09802066,false
860,79934615,false
861,24191627,false
862,41111707,false
863,14119410,false
864,88521490,false
865,95267370,false
866,73391569,false
867,31887452,false
868,98404578,false
869,27636909,false
870,06767461,false
871,04560143,false
872,41913248,false
873,81564906,false
874,22177141,false
875,56792379,false
876,58053597,false
877,39532563,false
878,04903134,false
879,03964175,false
880,60868114,false
881,45340729,false
882,48264904,false
883,08060806,false
884,47197998,false
885,89193314,false
886,76490566,false
887,54531989,false
888,03863575,false
889,58974720,false
890,47096780,false
891,37927403,false
892,92912227,false
893,60103424,false
894,58474364,false
895,51804406,false
896,89932077,false
897,00886570,false
898,17900158,false
899,81804669,false
900,30645952,false
901,92711333,false
902,18645244,false
903,75570147,false
904,36580169,false
905,78820933,false
906,22218322,false
907,65361551,false
908,81845866,false
909,23924306,false
910,15821671,false
911,81707801,false
912,50134000,false
913,20727693,false
914,33736206,false
915,85562740,false
916,41063065,false
917,96179829,false
918,79464113,false
919,05739282,false
920,42569292,false
921,48678291,false
922,18144512,false
923,77214747,false
924,28581708,false
925,65387180,false
926,27075924,false
927,99726908,false
928,87952761,false
929,92302638,false
930,41639543,false
931,22947014,false
932,64926524,false
933,53119722,false
934,93916448,false
935,94992874,false
936,13258934,false
937,39299606,false
938,19798424,false
939,49143242,false
940,24348168,false
941,19530244,false
942,03628224,false
943,33634253,false
944,82997619,false
945,02563161,false
946,82501244,false
947,88204563,false
948,78329103,false
949,58954703,false
950,49326252,false
951,85976913,false
952,62852511,false
953,45353114,false
954,56332264,false
955,22540095,false
956,14003233,false
957,98108407,false
958,51816624,false
959,78736250,false
960,44096945,false
961,98077488,false
962,00499634,false
963,52624675,false
964,36401886,false
965,76599018,false
966,57956757,false
967,73207989,false
968,37232037,false
969,46018278,false
970,95108811,false
971,66309012,false
972,89252800,false
973,23053644,false
974,36339182,false
975,39393422,false
976,38766759,false
977,92827817,false
978,32219657,false
979,19943542,false
980,48062736,false
981,39593891,false
982,49765835,false
983,63370928,false
984,68722279,false
985,79967874,false
986,32699367,false
987,11254096,false
988,23696967,false
989,49983612,false
990,40126294,false
991,74405172,false
992,04607030,false
993,45368650,false
994,61236564,false
995,67666614,false
996,52873909,false
997,14552846,false
998,52810491,false
999,96655967,false
1000,54399890,false
